i,j,term1,term2,term3,term4,d_cpp
3,32,-1.0948444094489552e-62,-1.0384103588710655e-62,-3.7989319154180319e-68,-2.0177094803496116e-119,-2.1332585672519359e-62
3,33,-5.8775705739924242e-60,-5.5746096124300864e-60,-2.0394213320137269e-65,-5.8149974614900234e-114,-1.1452200580635829e-59
3,34,-3.1553191991589799e-57,-2.9926774194339985e-57,-1.0948444094489552e-62,-1.6758703771008889e-108,-6.1480075670370728e-57
3,35,-1.693903820166039e-54,-1.6065910905797008e-54,-5.8775705739924242e-60,-4.8298241563197856e-103,-3.3005007883163134e-54
3,36,-9.0935654077022951e-52,-8.6248351244560107e-52,-3.1553191991589799e-57,-1.3919454451676732e-97,-1.7718432085350298e-51
3,37,-4.8817961704610901e-49,-4.6301626692831365e-49,-1.693903820166039e-54,-4.0115583085728123e-92,-9.5119757787824275e-49
3,38,-2.6207469547360156e-46,-2.4856598456280999e-46,-9.0935654077022951e-52,-1.1561229011486916e-86,-5.106415893929523e-46
3,39,-1.4069236733637285e-43,-1.3344034128987726e-43,-4.8817961704610901e-49,-3.3319225591313788e-81,-2.7413319680586716e-43
3,40,-7.5529391309382388e-41,-7.1636208449348207e-41,-2.6207469547360156e-46,-9.602532679716186e-76,-1.4716586183342606e-40
3,41,-4.0547252559385914e-38,-3.8457233482718613e-38,-1.4069236733637285e-43,-2.7674302817246703e-70,-7.9004626734471868e-38
3,42,-2.1767416122555158e-35,-2.0645408783605026e-35,-7.5529391309382388e-41,-7.9756774797386507e-65,-4.2412900435551491e-35
3,43,-1.1685635271058428e-32,-1.1083296047119202e-32,-4.0547252559385914e-38,-2.2985739399067171e-59,-2.2768971865430189e-32
3,44,-6.2733248135367322e-30,-5.9499645928850601e-30,-2.1767416122555158e-35,-6.6244430904337607e-54,-1.2223311173837915e-29
3,45,-3.3677761887369879e-27,-3.1941832561431654e-27,-1.1685635271058428e-32,-1.9091509520975642e-48,-6.5619711305154237e-27
3,46,-1.8079593827104202e-24,-1.7147676283697255e-24,-6.2733248135367322e-30,-5.5021340030205892e-43,-3.5227332844049592e-24
3,47,-9.7058621070555938e-22,-9.2055708251854313e-22,-3.3677761887369879e-27,-1.5857037681559022e-37,-1.891146661000291e-21
3,48,9.7058621070555938e-22,-4.941925239052485e-19,-1.8079593827104202e-24,-4.3514298235549473e-34,-4.9322374565392613e-19
4,1,-3.7758434276953908e-32,-1.0320992889820387e-26,2.02702649171812e-29,-1.8980148726071079e-49,-1.0300760383337483e-26
4,2,-7.0334520287330654e-35,-1.9225428641185431e-29,-2.02702649171812e-29,-6.1728249796093876e-53,-3.9495763892886914e-29
4,3,-1.3101562177508846e-37,-3.58121655913422e-32,-3.7758434276953908e-32,-2.1418698055124033e-58,-7.3570730883917885e-32
4,4,-2.4404933848969433e-40,-6.6709108456196961e-35,-7.0334520287330654e-35,-7.4319396369084195e-64,-1.3704387279286612e-34
4,5,-4.5460288483386215e-43,-1.2426238619025285e-37,-1.3101562177508846e-37,-2.5787620995682698e-69,-2.5527846256822615e-37
4,6,-8.4681148565373676e-46,-2.3146974946958878e-40,-2.4404933848969433e-40,-8.9478847932840048e-75,-4.7551993477076879e-40
4,7,-1.5773980239856034e-48,-4.3117025644013332e-43,-4.5460288483386215e-43,-3.1047703969004093e-80,-8.8577471867201941e-43
4,8,-2.9382980370806057e-51,-8.031623590756748e-46,-8.4681148565373676e-46,-1.077304797744413e-85,-1.6499767830274489e-45
4,9,-5.4733144225052857e-54,-1.4960906171076977e-48,-1.5773980239856034e-48,-3.7380723173661383e-91,-3.073494114407724e-48
4,10,-1.0195415982161157e-56,-2.7868426717278434e-51,-2.9382980370806057e-51,-1.2970502571895308e-96,-5.7251509042244316e-51
4,11,-1.8991510266959594e-59,-5.1911909533779972e-54,-5.4733144225052857e-54,-4.5005532981791283e-102,-1.0664524367393549e-53
4,12,-3.5376434159342425e-62,-9.6698905136706188e-57,-1.0195415982161157e-56,-1.5616187481925221e-107,-1.9865341872265934e-56
4,13,-6.5897449767729537e-65,-1.8012587744538767e-59,-1.8991510266959594e-59,-5.418562903572387e-113,-3.7004163908948129e-59
4,14,-1.2275046903628217e-67,-3.3552946312682514e-62,-3.5376434159342425e-62,-1.8801531407044251e-118,-6.892950322249397e-62
4,15,-2.2865342591764489e-70,-6.2500747934071059e-65,-6.5897449767729537e-65,-6.5238254042785946e-124,-1.2839842635522651e-64
4,16,-4.2592414997960176e-73,-1.1642326298009032e-67,-1.2275046903628217e-67,-2.2636612403585903e-129,-2.3917415794052245e-67
4,17,-7.9339017470565283e-76,-2.1686742336634284e-70,-2.2865342591764489e-70,-7.8545360943307165e-135,-4.4552164267416244e-70
4,18,-1.4778874814908067e-78,-4.0396977471417808e-73,-4.2592414997960176e-73,-2.7253961925579924e-140,-8.2989540258126133e-73
4,19,-2.7529347823819139e-81,-7.5249466401854542e-76,-7.9339017470565283e-76,-9.4566812313344195e-146,-1.5458875916589807e-75
4,20,-5.1280290455961921e-84,-1.4017093723831858e-78,-1.4778874814908067e-78,-3.2813144802677974e-151,-2.879601981903038e-78
4,21,-9.557742438719925e-87,-2.611034021244095e-81,-2.7529347823819139e-81,-1.1385627214755475e-156,-5.3639783613684482e-81
4,22,-2.9740585372164838e-87,-4.866507278311419e-84,-5.1280290455961921e-84,-3.9506774270559005e-162,-9.9975103824448276e-84
4,23,-1.5870435139952223e-84,-1.5142987593863896e-84,-9.557742438719925e-87,-4.2402875613651105e-163,-3.1109000158203318e-84
